Q16602 P06881
P60842 Q53EL6
P06730 Q13541
P55085 Q15363
Q03468 Q13216
Q15554 Q14191
P83876 O94906
P16410 P42081
O95271 Q9C0C2
Q12815 Q13895
P04271 P06703
Q93074 Q9UHV7
P28066 P20618
O43557 Q92956
P52298 Q09161
P62917 O00267
Q15382 P49815
O00422 Q9UMX1
Q15388 O96008
P32246 P80075
O75925 Q01826
Q9Y3E7 O43633
Q99471 O60925
P61020 Q15075
P28288 P33897
Q13077 P20333
Q9H496 O14656
Q9BSI4 Q9NYB0
P23246 Q9Y2W1
P78527 Q13315
P12004 P40937
P43694 P11831
Q9P1U1 O15145
Q9H944 Q9NX70
Q9H307 Q08170
Q9NPD3 Q9NQT4
P46939 Q13424
Q04637 P06730
P61923 P53618
P26447 P23297
Q14164 O00571
Q15631 Q99598
Q15633 Q9UPY3
O95477 Q13884
Q13257 Q9UJX6
O75143 O75385
Q52LR7 Q15014
O95782 Q9Y6I3
P11441 O43681
O95786 Q14258
P40189 P13725
Q9UFF9 P78543
P33991 P49736
O94782 Q8TAF3
P51531 Q6STE5
P61586 Q969H4
P62166 Q9UBF8
P49682 Q07325
P55895 P15918
P51665 P25786
Q00526 P61024
Q9Y2X7 Q13136
P83731 Q71UM5
P28074 O14818
Q14498 P78362
P17542 P25791
P10242 Q9UBE8
O60566 Q8NG31
Q96T58 Q9Y618
P17947 P23769
Q99653 P19634
Q99873 O43390
Q9UIQ6 Q9H2K2
P09012 P09661
Q14573 Q9Y210
P27037 P36896
Q14596 Q9BXW4
P29460 P29459
Q8IZL8 Q9H4L4
Q9HCS7 Q9UNP9
P16144 P23229
Q9H204 Q9NPJ6
Q13489 P55210
P15170 Q8IYD1
P22695 P31930
Q9NYB9 Q92558
O43303 Q96JN8
Q9Y5N5 Q9UI30
Q9Y2I2 Q9HCJ2
P62258 P11388
P49768 Q02410
Q96E14 Q13472
Q04727 Q02548
Q96HR3 Q13503
